Name,country,latitude,longitude,max temperature,cloudiness,date,humidity,wind speed
ponta do sol,BR,-20.63,-46,72.8,100,1551469833,87,2.62
sisimiut,GL,66.94,-53.67,10.02,44,1551469834,83,1.16
ferkessedougou,CI,9.6,-5.2,73.29,0,1551469834,31,6.2
bundu,IN,23.16,85.59,49.31,0,1551469834,76,2.62
falam,MM,22.91,93.68,45.08,0,1551469835,86,2.06
ye,,,,,,,,
asfi,,,,,,,,
shimanovsk,RU,52,127.67,-1.95,12,1551469836,57,2.39
hunucma,MX,21.02,-89.88,93.99,75,1551469517,30,13.87
sentyabrskiy,,,,,,,,
tautira,PF,-17.73,-149.15,86,20,1551469387,74,4.7
kamenskoye,,,,,,,,
port alfred,ZA,-33.59,26.89,69.01,24,1551469595,85,3
east london,ZA,-33.02,27.91,71.63,92,1551469837,100,2.28
saint-philippe,CA,45.36,-73.48,30,1,1551469827,46,3.74
zlitan,LY,32.47,14.57,47.33,0,1551469838,98,7.65
nizhneyansk,,,,,,,,
avera,US,33.19,-82.53,66.99,90,1551469833,93,9.78
guerrero negro,MX,27.97,-114.04,69.65,44,1551469839,58,11.34
atuona,PF,-9.8,-139.03,80.36,0,1551469839,100,8.21
esperance,TT,10.24,-61.45,86,20,1551469566,48,17.22
attawapiskat,,,,,,,,
souillac,FR,45.6,-0.6,53.6,90,1551469836,62,4.7
murgab,TM,37.5,61.97,51.8,40,1551466800,76,9.17
qasigiannguit,GL,68.82,-51.19,24.8,20,1551466200,79,12.75
salalah,OM,17.01,54.1,78.8,40,1551466200,78,4.7
nuuk,GL,64.17,-51.74,41,75,1551469366,48,2.24
yumbing,PH,9.24,124.66,72.98,8,1551469844,90,7.87
kruisfontein,ZA,-34,24.73,62.49,24,1551469845,90,5.97
grafton,AU,-29.69,152.93,66.2,75,1551469396,93,6.93
viedma,AR,-40.81,-62.99,65.55,92,1551469847,64,22.97
panjakent,UZ,39.5,67.61,46.4,48,1551466800,75,4.7
port shepstone,ZA,-30.74,30.45,72.71,44,1551469847,89,3.4
dunbar,US,45.65,-88.17,33.01,1,1551469816,36,3.4
trincomalee,LK,8.58,81.23,76.76,80,1551469848,88,5.86
muli,IN,22.62,71.45,57.9,0,1551469848,51,3.4
halalo,,,,,,,,
ketchenery,,,,,,,,
samagaltay,RU,50.6,95,-0.33,36,1551469859,66,2.17
nanortalik,GL,60.14,-45.24,31.17,48,1551469861,95,20.74
roma,IT,41.89,12.48,54,75,1551469329,76,3.36
san patricio,PY,-26.98,-56.83,82.61,0,1551469866,58,2.39
marcona,,,,,,,,
pevek,RU,69.7,170.27,-4.29,48,1551469871,90,4.97
srednekolymsk,RU,67.46,153.71,-14.51,80,1551469874,64,4.52
aklavik,CA,68.22,-135.01,-0.41,5,1551468420,63,21.92
tessalit,ML,20.2,1.01,57.95,0,1551469413,35,9.66
marshalltown,US,42.04,-92.91,33.01,75,1551469569,63,8.05
roald,NO,62.58,6.12,37.4,75,1551469804,74,17.22
ziarat,PK,30.38,67.73,33.65,92,1551469877,97,4.97
polson,US,47.69,-114.16,25,90,1551469806,78,24.16
kalemie,CD,-5.95,29.2,74.19,32,1551469883,100,5.64
pedernales,EC,0.07,-80.05,83.15,76,1551469416,79,6.64
pailon,BO,-17.66,-62.72,89.6,75,1551466800,55,14.99
bressanone,IT,46.72,11.66,55.4,20,1551469826,37,12.75
boa vista,BR,2.82,-60.67,95,75,1551466800,30,11.41
grand gaube,MU,-20.01,57.66,82.4,75,1551469739,83,9.17
palabuhanratu,,,,,,,,
linfen,CN,36.09,111.52,33.42,92,1551469899,85,2.73
palmer,US,61.6,-149.11,28,1,1551469883,92,2.39
wuan,CN,31.68,112,42.24,92,1551469903,98,7.76
wenatchee,US,47.42,-120.31,35.01,90,1551469817,79,3.36
yeniseysk,RU,58.45,92.17,13.53,36,1551469907,79,2.39
illoqqortoormiut,,,,,,,,
warrnambool,AU,-38.38,142.48,75.99,0,1551469628,40,14.7
nampula,MZ,-15.12,39.26,77,75,1551466800,88,6.93
skelleftea,SE,64.75,20.95,30.2,0,1551469669,68,14.99
ashqelon,IL,31.67,34.57,59,75,1551469589,87,8.05
sao felix do xingu,BR,-6.64,-51.99,81.08,64,1551469910,82,2.17
terrace,CA,54.52,-128.61,37,75,1551469504,68,2.24
rincon,US,32.3,-81.24,69.8,20,1551469853,82,9.17
port hedland,AU,-20.31,118.58,80.6,40,1551466800,88,10.29
laje,BR,-13.18,-39.42,80.9,0,1551469912,60,10.11
fomboni,KM,-12.28,43.74,84.72,80,1551469913,100,6.31
norman wells,CA,65.28,-126.83,-2.21,5,1551466800,58,23.04
vadgaon,IN,20.94,74.87,58.8,0,1551469913,67,3.85
mitchell,US,43.71,-98.03,18,90,1551469505,78,8.05
qaanaaq,GL,77.48,-69.36,-15.95,0,1551469914,90,4.74
karakendzha,,,,,,,,
arona,IT,45.76,8.56,57.99,0,1551469864,43,2.24
hays,US,38.88,-99.33,36,1,1551468670,100,6.93
kidal,ML,18.44,1.41,59.93,0,1551469917,22,10.78
karaton,ID,-6.34,106.1,84,75,1551469727,88,2.24
tsienyane,,,,,,,,
abu dhabi,AE,24.47,54.37,68,0,1551466800,60,24.16
aksarka,RU,66.56,67.8,-12.98,12,1551469932,59,3.29
shubarkuduk,KZ,49.15,56.49,26.63,80,1551469933,92,13.47
benguela,AO,-12.58,13.4,79.95,76,1551469933,100,6.64
manzhouli,CN,49.6,117.43,15.69,8,1551469393,58,9.66
kalmunai,LK,7.42,81.82,74.96,92,1551469862,99,3.29
gamba,CN,28.28,88.52,-17.03,0,1551469941,40,5.3
nabire,ID,-3.36,135.5,66.99,92,1551469942,98,1.83
bud,NO,62.91,6.91,37.4,75,1551469601,74,27.51
chumphon,TH,10.5,99.18,72.93,24,1551469945,87,2.62
taltal,CL,-25.41,-70.49,71.94,0,1551469946,62,4.18
kananga,CD,-5.9,22.41,73.88,8,1551469947,92,3.06
shahr-e kord,IR,32.33,50.85,21.2,20,1551466800,62,4.7
mehamn,NO,71.03,27.85,12.2,20,1551466200,72,9.17
saleaula,,,,,,,,
nouakchott,MR,18.08,-15.98,77,0,1551468600,9,11.41
shar,NG,7.3,8.73,80.9,88,1551469951,70,7.2
nemuro,JP,43.32,145.57,29.55,0,1551469952,100,20.74
naumburg,DE,51.15,11.81,43,75,1551469947,80,10.29
mayumba,GA,-3.44,10.65,78.83,68,1551469953,100,4.63
oksfjord,NO,70.24,22.35,21.2,20,1551469808,62,10.29
barentsburg,,,,,,,,
chakwal,PK,32.93,72.86,48.23,92,1551469954,96,8.1
kayerkan,RU,69.35,87.76,8.76,80,1551469955,77,19.28
vaitupu,,,,,,,,
gladstone,AU,-23.84,151.26,71.6,75,1551468587,78,9.17
crab hill,,,,,,,,
birao,CF,10.3,22.78,77.79,0,1551469958,29,10.33
krasnoselkup,,,,,,,,
sandpoint,US,48.28,-116.55,34,75,1551469806,63,9.17
moose factory,CA,51.26,-80.61,17.6,90,1551468480,57,16.11
port hardy,CA,50.7,-127.42,37.4,40,1551466800,69,6.93
grand-santi,GF,4.27,-54.38,76.13,92,1551469960,94,4.29
akdepe,TM,42.05,59.39,48.2,0,1551466800,76,13.87
henties bay,NA,-22.12,14.28,66.99,32,1551466927,82,4
hamilton,BM,32.3,-64.78,71.01,40,1551469922,77,6.93
rumonge,BI,-3.97,29.44,73.02,20,1551469965,100,3.74
sao filipe,CV,14.9,-24.5,74.51,0,1551469966,80,17.83
tigil,RU,57.8,158.67,-1.1,44,1551469966,66,3.4
laguna,MX,27.52,-110.01,80.6,5,1551465660,34,5.82
upata,VE,8.02,-62.41,88,64,1551469560,57,4
namibe,AO,-15.19,12.15,76.89,48,1551469969,100,7.99
puerto colombia,CO,10.99,-74.96,87.8,20,1551466800,58,18.34
enshi,CN,30.29,109.48,39.68,92,1551469971,99,2.95
konevo,BG,41.67,25.61,48,20,1551469812,71,1.01
lolua,,,,,,,,
smithers,CA,54.78,-127.17,21.2,90,1551469440,57,16.11
ngunguru,NZ,-35.62,174.5,59,12,1551469088,91,15.03
gilbues,BR,-9.83,-45.34,71.49,76,1551469983,100,5.41
shahdadkot,PK,27.85,67.91,57.63,80,1551469985,98,3.18
canosa di puglia,IT,41.22,16.07,57.99,0,1551469865,58,8.05
awbari,LY,26.59,12.77,58.31,76,1551469988,42,11.01
fairbanks,US,64.84,-147.72,21,1,1551469807,83,2.17
bam,IR,29.11,58.36,55.92,0,1551469988,36,15.82
geraldton,CA,49.72,-86.95,15.8,40,1551466800,43,9.17
kahului,US,20.89,-156.47,73.4,40,1551469893,49,8.05
jambol,,,,,,,,
tsihombe,,,,,,,,
salina,US,36.29,-95.15,39.2,90,1551468900,81,3.36
zabid,YE,14.2,44.5,45.53,0,1551469995,83,1.28
skjervoy,NO,70.03,20.97,21.2,20,1551468000,62,10.29
aguilar de la frontera,ES,37.51,-4.66,57.2,0,1551468600,58,3.36
buala,SB,-8.15,159.59,83.15,0,1551469996,83,4.97
baruun-urt,MN,46.68,113.28,16.86,8,1551469996,79,4.97
makakilo city,US,21.35,-158.09,69.8,90,1551469647,49,3.36
temerloh,MY,3.45,102.42,74.33,0,1551469999,78,2.39
barnstaple,GB,51.08,-4.06,50,75,1551469971,93,11.41
husavik,CA,50.56,-96.99,12.99,0,1551469805,65,4.74
lalomanu,,,,,,,,
kavieng,PG,-2.57,150.8,82.43,20,1551470003,100,5.64
kavaratti,IN,10.57,72.64,82.2,8,1551470004,100,6.42
gobabis,NA,-22.45,18.97,69.06,12,1551470004,73,3.74
nago,IT,45.88,10.89,51.01,0,1551469992,81,2.24
nyurba,RU,63.29,118.35,10.43,68,1551470005,78,2.73
komsomolskiy,RU,67.55,63.78,0.93,64,1551470006,79,11.79
tuatapere,NZ,-46.13,167.69,53.01,12,1551469804,87,1.99
anadyr,RU,64.73,177.51,21.2,20,1551469992,79,24.61
leningradskiy,RU,69.38,178.42,17.4,0,1551470008,73,19.17
wagar,US,31.44,-87.99,79,92,1551470007,65,1.99
gotsu,JP,35.01,132.22,35.36,24,1551470018,91,5.53
yuanping,CN,38.72,112.71,19.88,0,1551470020,72,1.28
north platte,US,41.12,-100.77,30.2,40,1551469804,68,19.46
tecoanapa,MX,16.99,-99.26,82.4,5,1551466140,74,10.29
grand river south east,,,,,,,,
pacific grove,US,36.62,-121.92,59,1,1551469779,62,2.73
yamandu,SL,7.94,-11.49,82.2,0,1551470028,41,7.2
jacareacanga,BR,-6.22,-57.76,91.4,20,1551466800,59,2.24
necochea,AR,-38.55,-58.74,75.99,68,1551469897,69,8.99
san fernando,CL,-34.58,-70.99,84.2,0,1551466800,35,9.17
stratford,CA,43.37,-80.98,35.01,90,1551470019,49,6.93
urzhum,RU,57.11,50,23.34,88,1551470033,95,10
northam,GB,51.04,-4.21,48.99,75,1551470018,93,11.41
margherita,IN,27.29,95.67,41.97,0,1551470034,87,0.94
carutapera,BR,-1.2,-46.02,78.24,92,1551470037,94,3.62
adre,TD,13.47,22.2,75.81,0,1551470037,25,12.01
puerto baquerizo moreno,EC,-0.9,-89.6,84.2,75,1551466800,74,5.82
angoche,MZ,-16.23,39.91,80.49,88,1551470038,100,10.22
zhetybay,,,,,,,,
takaka,NZ,-40.86,172.81,57,0,1551469550,86,0.94
comodoro rivadavia,AR,-45.87,-67.48,66.2,20,1551466800,59,3.36
ust-maya,RU,60.42,134.54,-15.18,48,1551470049,65,1.5
muros,ES,42.77,-9.06,59,75,1551470025,93,4.7
verkhnevilyuysk,RU,63.45,120.31,7.95,80,1551470050,80,3.4
constitucion,MX,23.99,-104.67,75.99,5,1551469817,16,4.7
mildura,AU,-34.18,142.16,73,0,1551469514,43,4.7
mankono,CI,8.06,-6.19,77.79,20,1551470052,29,6.76
naifaru,MV,5.44,73.37,81.66,0,1551470052,100,6.98
alofi,NU,-19.06,-169.92,80.6,40,1551466800,94,4.7
ballina,IE,54.11,-9.15,48.2,75,1551469924,100,4.7
lupiro,TZ,-8.39,36.67,73.61,56,1551470054,89,3.18
mrirt,,,,,,,,
satitoa,,,,,,,,
mys shmidta,,,,,,,,
anklam,DE,53.86,13.69,36,32,1551469723,88,3.96
sulurpeta,,,,,,,,
katsuura,JP,33.93,134.5,44.6,40,1551466800,65,11.41
darlowo,PL,54.42,16.41,35.49,0,1551470065,100,11.68
hasaki,JP,35.73,140.83,35.6,20,1551469775,93,2.24
la ronge,CA,55.1,-105.3,-11.21,75,1551466800,63,8.05
santo antonio do sudoeste,BR,-26.07,-53.73,87.6,0,1551470067,30,2.95
chifeng,CN,42.27,118.96,30.05,0,1551470067,83,9.1
huarmey,PE,-10.07,-78.15,78.56,88,1551470068,56,4.74
atar,MR,20.52,-13.05,67.26,0,1551470069,13,9.66
hualmay,PE,-11.1,-77.61,76.89,68,1551470070,66,5.64
rovnoye,RU,50.78,46.06,31.89,88,1551470071,95,10
mogadouro,PT,41.34,-6.71,51.42,76,1551470074,64,6.53
saint-louis,CH,47.59,7.56,48.2,75,1551469667,87,10.29
lagoa,PT,37.14,-8.45,62.6,0,1551469965,63,14.99
ruatoria,,,,,,,,
grindavik,IS,63.84,-22.43,42.01,90,1551470054,93,9.17
upernavik,GL,72.79,-56.15,1.83,36,1551470076,100,9.66
tawkar,,,,,,,,
ishigaki,JP,24.34,124.16,73.29,76,1551470077,100,12.01
khoy,IR,38.55,44.95,25.95,0,1551470078,65,5.86
goure,NE,13.98,10.27,77.07,32,1551470078,53,2.95
iqaluit,CA,63.75,-68.52,-4.01,40,1551469968,70,27.51
ponta delgada,PT,37.73,-25.67,60.8,40,1551469995,87,10.29
mount gambier,AU,-37.83,140.78,82.4,0,1551466800,24,17.22
marawi,PH,8,124.29,73,92,1551469546,90,3
baykit,RU,61.68,96.39,11.91,68,1551470080,81,2.62
kieta,PG,-6.22,155.63,79.1,36,1551470082,100,1.72
pirovskoye,RU,57.63,92.27,18.93,44,1551470082,85,2.95
zalantun,CN,48,122.72,14.03,0,1551470082,76,1.61
angoram,PG,-4.06,144.07,76.13,44,1551470083,95,2.84
charlestown,US,41.38,-71.64,37,90,1551470044,100,4.7
berlevag,NO,70.86,29.09,12.2,40,1551466200,85,11.41
fort saint john,,,,,,,,
treinta y tres,UY,-33.23,-54.39,79.73,0,1551470087,52,8.1
flin flon,CA,54.77,-101.88,-5.81,90,1551466800,58,11.41
zhigansk,RU,66.77,123.37,-7.8,48,1551470090,62,2.28
samarai,PG,-10.62,150.67,80.81,64,1551470091,100,2.73
salym,RU,60.06,71.48,19.56,88,1551470092,78,9.44
bira,RU,49,132.47,5.52,0,1551470092,70,2.84
puerto ayacucho,CO,5.66,-67.63,96.8,20,1551466800,37,3.29
lasa,CY,34.92,32.53,59,75,1551468600,67,12.75
davila,PH,18.47,120.58,75,0,1551470095,99,15.03
pringsewu,ID,-5.36,104.98,72.93,92,1551470096,96,2.28
isangel,VU,-19.55,169.27,80.9,68,1551470096,100,25.32
alvaraes,BR,-3.22,-64.8,89.6,75,1551466800,66,9.17
praia,BR,-20.25,-43.81,82.4,75,1551466800,58,2.24
kindu,CD,-2.95,25.92,72.12,76,1551470100,96,0.72
christchurch,NZ,-43.53,172.64,59,12,1551469879,93,3.36
biak,ID,-0.91,122.88,77.07,8,1551470107,100,3.18
bereda,ES,43.27,-7.54,57.99,75,1551470037,82,8.05
vicosa do ceara,BR,-3.56,-41.09,77.97,76,1551470109,84,5.53
bambanglipuro,ID,-7.95,110.28,71.04,76,1551470110,98,3.18
andenes,,,,,,,,
kuche,,,,,,,,
saint george,GR,39.45,22.34,48.2,20,1551466200,57,3.51
san joaquin,PH,10.59,122.14,71.22,0,1551470116,89,11.79
raga,,,,,,,,
nova pazova,RS,44.94,20.22,57,0,1551469626,61,3.36
saldanha,PT,41.42,-6.55,51.42,76,1551469943,64,6.53
groningen,NL,53.22,6.57,42.8,90,1551469993,75,5.82
safford,US,32.83,-109.71,69.01,1,1551469930,32,3.36
camacha,PT,33.08,-16.33,62.6,20,1551466800,67,10.29
zdvinsk,RU,54.7,78.67,18.03,64,1551470120,84,6.08
narrabri,AU,-30.33,149.78,68,75,1551466800,49,2.24
dien bien,,,,,,,,
tomatlan,MX,19.93,-105.25,82.16,44,1551470122,71,4.63
monte aprazivel,BR,-20.77,-49.71,82.4,40,1551466800,61,4.7
wroclaw,PL,51.1,17.03,39,75,1551470072,93,4.7
nizwa,OM,22.93,57.53,62.04,0,1551470124,67,1.5
haibowan,,,,,,,,
okhotsk,RU,59.36,143.24,-6.5,0,1551470124,100,6.76
lata,IN,30.78,78.62,34.77,80,1551470125,67,2.73
ust-nera,RU,64.57,143.24,-42.99,8,1551470125,0,1.83
oranjemund,ZA,-28.55,16.43,64.02,0,1551470127,88,21.18
upington,ZA,-28.46,21.24,82.4,0,1551466800,15,4.7
boyolangu,ID,-8.09,111.9,70.14,68,1551470129,96,2.17
high level,CA,58.52,-117.13,-13.01,20,1551466800,62,14.99
sohag,EG,26.55,31.7,55.4,0,1551466800,47,6.93
menongue,AO,-14.66,17.68,62.31,36,1551470131,96,2.39
okha,RU,53.59,142.95,-10.68,0,1551470138,89,3.18
kizilskoye,RU,52.73,58.89,27.03,92,1551470139,92,14.03
haysville,US,37.56,-97.35,41,1,1551470069,59,8.05
bambous virieux,MU,-20.34,57.76,82.4,75,1551470040,83,9.17
jumla,NP,29.28,82.18,8.94,32,1551470141,80,1.72
hoima,UG,1.43,31.35,67.35,0,1551470142,82,2.73
lompoc,US,34.64,-120.46,66,90,1551470017,58,4.7
glubokoe,,,,,,,,
tungor,RU,53.39,142.95,-10.68,0,1551470143,89,3.18
wanning,AT,48.64,13.53,46.4,75,1551470119,81,14.99
north bend,US,43.41,-124.22,43,90,1551470116,93,14.99
